Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
109.000000,541.921386,0.008816,0.933457,26.267770,
110.000000,875.896194,0.014249,0.747980,33.394995,
111.000000,79.817879,0.001298,0.964595,10.081036,
112.000000,142.831993,0.002324,0.944765,13.485523,
113.000000,378.084688,0.006150,0.824663,21.940656,
114.000000,285.663987,0.004647,0.944765,19.071410,
115.000000,365.481865,0.005945,0.975106,21.571879,
116.000000,176.439521,0.002870,0.924996,14.988321,
117.000000,180.640462,0.002939,0.967412,15.165704,
118.000000,491.510095,0.007996,0.744169,25.016197,
119.000000,424.295039,0.006902,0.749373,23.242832,
120.000000,510.414329,0.008303,0.882801,25.492738,
121.000000,487.309154,0.007927,0.734191,24.909060,
122.000000,443.199273,0.007210,0.977784,23.754975,
123.000000,825.484903,0.013429,0.838323,32.419747,
124.000000,905.302781,0.014727,0.746028,33.950954,
125.000000,617.538324,0.010046,0.865254,28.040582,
126.000000,77.717408,0.001264,1.023174,9.947506,
127.000000,65.114585,0.001059,0.296162,9.105299,
128.000000,342.376690,0.005570,1.006171,20.878878,
129.000000,130.229170,0.002119,0.981169,12.876837,
130.000000,552.423739,0.008987,0.957826,26.521081,
131.000000,592.332678,0.009636,0.898255,27.462363,
132.000000,105.023525,0.001708,0.967577,11.563741,
133.000000,262.558811,0.004271,0.927522,18.283880,
134.000000,665.849145,0.010832,0.928671,29.116756,
135.000000,407.491275,0.006629,0.972827,22.777928,
136.000000,155.434816,0.002529,0.965851,14.067898,
137.000000,138.631052,0.002255,0.930767,13.285727,
138.000000,359.180454,0.005843,0.913341,21.385106,
139.000000,1048.134775,0.017051,0.740076,36.531174,
140.000000,260.458341,0.004237,0.955307,18.210597,
141.000000,245.755047,0.003998,0.964913,17.689122,
142.000000,210.047049,0.003417,0.892062,16.353599,
143.000000,373.883747,0.006082,0.880995,21.818423,
144.000000,413.792687,0.006731,0.951587,22.953370,
145.000000,558.725150,0.009089,0.934286,26.671913,
146.000000,474.706331,0.007722,0.940952,24.584850,
147.000000,985.120660,0.016025,0.953364,35.416022,
148.000000,338.175749,0.005501,0.983332,20.750391,
149.000000,142.831993,0.002324,0.980818,13.485523,
150.000000,98.722113,0.001606,0.227523,11.211463,
151.000000,346.577631,0.005638,0.947522,21.006579,
152.000000,426.395509,0.006936,0.891788,23.300292,
153.000000,1524.941576,0.024807,0.689388,44.063771,
154.000000,1554.348163,0.025285,0.758659,44.486600,
155.000000,659.547734,0.010729,0.784266,28.978652,
156.000000,300.367280,0.004886,0.828896,19.556060,
